word,translation,example,level
der Rücken,спина,Nach dem langen Sitzen tut mir der Rücken weh.,A1
die Nachhilfe,"дополнительные занятия, репетиторство","Wenn du in Mathe Schwierigkeiten hast, könntest du Nachhilfe nehmen.",A2
dass,что,"Ich hoffe, dass du bald wieder gesund bist.",A2
hart,трудный,"Das war eine harte Prüfung, aber ich habe sie bestanden.",A2
bequem,удобный,Dieser Stuhl ist sehr bequem.,A2
das Studium,учёба,Sie hat ihr Studium der Germanistik erfolgreich beendet.,A2
die Bremsen,тормоза,Nach dem starken Regen musste ich die Bremsen meines Fahrrads überprüfen.,A2
persönlich,личный,Ich möchte das gerne persönlich mit Ihnen besprechen.,B1
das Hotel,отель,Wir haben ein Zimmer in einem schönen Hotel in der Nähe des Zentrums gebucht.,A1
der Weg,"путь, дорога","Der Weg zum Gipfel war steil, aber die Aussicht war atemberaubend.",A1
der Einwohner,житель,Die Zahl der Einwohner dieser Stadt wächst stetig.,A2
abwesend,отсутствующий,Leider war mein Kollege wegen Krankheit abwesend.,B1
mitten,посреди,Wir trafen uns mitten in der Stadt vor dem alten Brunnen.,B1
dagegen,против этого,"Er argumentierte vehement dagegen, dass wir das Projekt verschieben.",B1
die Geldbörse,кошелек,"Ich kann meine Geldbörse nicht finden, sie muss irgendwo hier sein.",A1
danke,спасибо,Danke für das nette Gespräch!,A1
der Einbruch,"взлом, кража со взломом",Leider gab es letzte Nacht einen Einbruch in der Nachbarschaft.,B1
anstrengen,"напрягать, прилагать усилия","Du musst dich mehr anstrengen, um deine Ziele zu erreichen.",B1
löschen,"тушить, стирать","Bitte löschen Sie die Kerze, bevor Sie das Zimmer verlassen.",A2
der Bub,"мальчик (южногерм., австр.)",Der kleine Bub spielte im Garten mit seinem neuen Spielzeug.,B1
national,национальный,Die Nationalmannschaft hat das Spiel gewonnen.,B2
der Stock,палка,Der alte Mann stützte sich beim Gehen auf einen Stock.,A2
nervös,нервный,Er war nervös vor seiner wichtigen Prüfung.,A2
loben,хвалить,Der Lehrer lobte die Schüler für ihre gute Arbeit.,A2
der Zug,поезд,"Der Zug hat Verspätung, wir werden wahrscheinlich erst in einer Stunde ankommen.",A1
die Glace,мороженое,Nach dem Essen gönnten wir uns eine Kugel Glace.,B2
informieren,информировать,Bitte informieren Sie uns über Ihre Ankunftszeit.,A2
empfehlen,рекомендовать,Ich kann Ihnen dieses Buch wärmstens empfehlen.,A2
ärgerlich,"досадный, раздражающий","Es ist sehr ärgerlich, dass der Zug schon wieder Verspätung hat.",B1
der Bruder,брат,Mein älterer Bruder wohnt jetzt in einer anderen Stadt.,A1
der Wagen,"машина, вагон",Der alte Wagen meines Großvaters steht immer noch in der Garage.,A2
Einschreiben,заказное письмо,"Ich habe den Brief per Einschreiben verschickt, um sicherzugehen, dass er ankommt.",B1
die Möhre,морковь,Ich habe heute eine Möhre als gesunden Snack gegessen.,A1
bemerken,замечать,"Ich habe bemerkt, dass du heute sehr müde aussiehst.",B1
der Abschluss,"окончание, завершение, диплом",Nach dem erfolgreichen Abschluss meines Studiums suche ich eine passende Arbeitsstelle.,B1
begegnen,встречать,Ich bin gestern meinem alten Freund auf der Straße begegnet.,B1
der Vorort,пригород,"Viele Familien ziehen in den Vorort, um mehr Ruhe zu haben.",A2
wo,где,Wo hast du dein Handy hingelegt?,A1
der Lieblings-,любимый,"Das ist mein Lieblingsbuch, das ich schon mehrmals gelesen habe.",A2
der Mund,рот,"Er öffnete den Mund, um etwas zu sagen, aber es kam kein Ton heraus.",A1
schnell,"быстрый, быстро",Er fährt sehr schnell Auto.,A1
beißen,кусать,"Der Hund hat mich gebissen, weil ich ihm zu nahe gekommen bin.",A2
mal,раз (как наречие),"Komm doch mal vorbei, wenn du Zeit hast.",A1
der Hauptbahnhof,главный вокзал,Wir treffen uns am Hauptbahnhof vor dem Haupteingang.,A1
die Konferenz,конференция,Wir werden auf der internationalen Konferenz über die neuesten Forschungsergebnisse berichten.,B1
die Pille,таблетка,Er musste jeden Tag eine Pille gegen seine Kopfschmerzen einnehmen.,B1
ziehen,"тянуть, переезжать","Wir planen, nächstes Jahr in eine größere Wohnung zu ziehen.",A2
stattfinden,состояться,Das Konzert wird morgen Abend in der Stadthalle stattfinden.,A2
tschüss,пока,"Tschüss, bis morgen!",A1
das Gespräch,разговор,Wir hatten ein langes und interessantes Gespräch über die Zukunft.,A2
der Braten,"жаркое, ростбиф",Zum Abendessen gab es einen leckeren Braten mit Kartoffeln.,A2
nötig,необходимый,"Wir brauchen dringend frisches Wasser, das ist das Nötigste.",A2
fassen,"хватать, обхватывать, понимать",Er konnte den Ball nicht fassen.,B2
trotzdem,тем не менее,"Es regnet, trotzdem gehen wir spazieren.",A2
die Diskothek,дискотека,Am Wochenende gehen wir gerne in die Diskothek.,A2
fertig,готовый,Das Essen ist fast fertig.,A1
die Marille,абрикос,Im Sommer gibt es frische Marillen vom Baum.,A2
hageln,идти градом,"Es begann plötzlich zu hageln, obwohl es vorher sonnig war.",A2
die Lippe,губа,"Er strich sich nachdenklich über die Lippe, bevor er antwortete.",A1
die Webseite,веб-сайт,Auf dieser Webseite finden Sie viele nützliche Informationen.,A2
die Ehe,брак,Sie sind seit zehn Jahren in einer glücklichen Ehe.,A2
außerdem,"кроме того, кроме того",Das Restaurant ist sehr gut. Außerdem sind die Preise sehr günstig.,A2
durstig,испытывающий жажду,Nach der langen Wanderung bin ich sehr durstig und brauche etwas zu trinken.,A1
das Obers,сливки,Für den Kuchen brauchen wir noch etwas Obers.,A2
der Kiosk,киоск,Am Kiosk kaufe ich mir jeden Morgen meine Zeitung.,A1
der Unterschied,"разница, отличие",Es gibt einen großen Unterschied zwischen den beiden Angeboten.,A2
eins,один,"Das ist eins der besten Bücher, die ich je gelesen habe.",A1
der Markt,рынок,Wir kaufen jeden Samstag frisches Gemüse auf dem Markt.,A1
fleißig,"усердный, прилежный",Sie ist eine sehr fleißige Schülerin.,A2
das Haar,волос,"Sie hat lange, blonde Haare, die ihr bis zur Taille reichen.",A1
die Auswahl,выбор,Die Auswahl an Restaurants in dieser Stadt ist sehr groß.,A2
menschlich,человеческий,"Es ist menschlich, Fehler zu machen.",B1
anschauen,смотреть,Ich möchte mir den neuen Film im Kino anschauen.,A2
der Samstag,суббота,"Am Samstag gehen wir ins Kino, wenn du Zeit hast.",A1
die Zeitung,газета,"Jeden Morgen lese ich die Zeitung, um mich über aktuelle Ereignisse zu informieren.",A1
entscheidend,решающий,Die Entscheidung des Gerichts war entscheidend für den Fall.,B2
der Sonntag,воскресенье,Am Sonntag gehen wir oft mit der Familie ins Grüne.,A1
die Krankheit,болезнь,Eine gesunde Lebensweise kann vielen Krankheiten vorbeugen.,A2
veröffentlichen,публиковать,"Der Autor plant, sein neues Buch nächstes Jahr zu veröffentlichen.",B1
die Gesundheit,здоровье,Regelmäßige Bewegung ist wichtig für die Gesundheit.,A1
ausdrucken,распечатывать,Kannst du mir bitte diesen Text ausdrucken?,A2
eng,"узкий, тесный","Die Straße war so eng, dass kaum ein Auto hindurchpasste.",A2
der Arzt,врач,"Wenn du dich nicht gut fühlst, solltest du einen Arzt aufsuchen.",A1
abstellen,"отставить, выключить","Bitte stellen Sie das Fahrrad vor dem Haus ab, damit es niemanden stört.",A2
die Zahnbürste,зубная щетка,"Ich vergesse nie, meine Zahnbürste auf Reisen mitzunehmen.",A1
zurück,назад,"Bitte geben Sie das Buch zurück, bevor die Ausleihfrist abläuft.",A2
die Tiere,животные,Im Zoo kann man viele verschiedene Tiere sehen.,A1
überlegen,обдумывать,"Ich muss mir gut überlegen, welche Entscheidung ich treffen soll.",B1
aufmachen,открывать,Kannst du bitte die Tür aufmachen? Ich komme nicht dran.,A1
das All,космос,Die Erforschung des Alls fasziniert die Menschheit seit Jahrhunderten.,B2
der Autor,автор,Der Autor des Buches wird heute Abend eine Lesung halten.,A2
der Rundgang,обход,Wir machen einen Rundgang durch die historische Altstadt.,A2
messen,измерять,Der Arzt wird Ihre Körpertemperatur messen.,B1
der Antrag,"заявление, ходатайство","Sie muss einen schriftlichen Antrag stellen, um die Genehmigung zu erhalten.",B1
studieren,учиться (в вузе),Sie möchte Medizin studieren und Ärztin werden.,A2
das Feuer,огонь,Wir sitzen am Lagerfeuer und erzählen uns Geschichten.,A2
interkulturell,межкультурный,Interkulturelle Kompetenz ist in der heutigen Welt sehr gefragt.,B2
die Brieftasche,"бумажник, портмоне",Ich habe meine Brieftasche im Restaurant vergessen.,A2
glücklich,счастливый,"Sie fühlte sich sehr glücklich, als sie die Prüfung bestanden hatte.",A2
das Geburtsjahr,год рождения,Bitte geben Sie Ihr Geburtsjahr in diesem Formular an.,A2
das Spiel,игра,Das Fußballspiel war sehr spannend und endete unentschieden.,A1
der Knödel,кнедлик,Zum Schweinebraten gibt es traditionell Kartoffelknödel.,A2
glauben,верить,"Ich glaube, dass er die Wahrheit sagt.",A1
bluten,кровоточить,Nach dem Sturz begann sein Knie zu bluten.,A2
die Gitarre,гитара,Sie spielt wunderschön Gitarre und komponiert eigene Lieder.,A1
verbieten,запрещать,Die Regierung hat die Einfuhr bestimmter Produkte verboten.,A2
die Haltestelle,остановка (общественного транспорта),Wir warten an der nächsten Haltestelle auf den Bus.,A1
erledigen,"выполнять, улаживать","Ich muss noch einige wichtige Aufgaben erledigen, bevor ich in den Urlaub fahre.",A2
die Ampel,светофор,An der nächsten Ampel müssen Sie rechts abbiegen.,A1
nichts,ничего,"Es gab nichts Besseres zu tun, als hier zu bleiben.",A1
die Integration,интеграция,Die erfolgreiche Integration von Flüchtlingen ist eine wichtige gesellschaftliche Aufgabe.,B2
die Mode,мода,"Die Mode ändert sich ständig, aber einige Stile bleiben immer aktuell.",A1
führen,вести,Der Weg führt durch einen dichten Wald.,B1
der Löffel,ложка,Bitte gib mir einen Löffel für die Suppe.,A1
elektronisch,электронный,Die Bezahlung erfolgt ausschließlich elektronisch.,B1
der Monitor,монитор,"Ich habe einen neuen, größeren Monitor für meinen Computer gekauft.",A2
der Notruf,экстренный вызов,Bei einem Brand müssen Sie sofort den Notruf wählen.,A2
der Wohnort,место жительства,Bitte geben Sie Ihren aktuellen Wohnort auf dem Formular an.,A1
die Postkarte,открытка,Ich habe meiner Familie aus dem Urlaub eine schöne Postkarte geschickt.,A1
lachen,смеяться,"Es ist wichtig, im Leben auch mal herzhaft zu lachen.",A1
laut,"громкий, громко","Die Musik war so laut, dass wir uns kaum unterhalten konnten.",A2
auseinander,"вместе, порознь, врозь",Die beiden Freunde leben jetzt weit auseinander.,B1
die Landung,посадка,Die Landung des Flugzeugs verlief trotz des Sturms reibungslos.,A2
ansonsten,"в противном случае, иначе","Du musst pünktlich sein, ansonsten verpasst du den Zug.",B1
das Personal,персонал,Das gesamte Personal des Hotels war sehr freundlich.,A2
entspannend,расслабляющий,Ein warmes Bad am Abend ist sehr entspannend nach einem langen Tag.,B1
das Training,тренировка,"Nach dem intensiven Training im Fitnessstudio fühlte er sich erschöpft, aber auch sehr zufrieden.",A2
oder,или,Möchtest du einen Kaffee oder lieber einen Tee?,A1
der Becher,"стакан, кружка, стаканчик",Könnten Sie mir bitte einen Becher Wasser bringen?,A1
der Schlüssel,ключ,Hast du den Schlüssel für die Wohnung dabei?,A1
die Abfahrt,"отправление, съезд",Die Abfahrt des Zuges ist für 15:30 Uhr geplant.,A1
das Rätsel,загадка,"Dieses Rätsel ist ziemlich knifflig, ich brauche länger zum Nachdenken.",A2
der Brief,письмо,Ich habe einen langen Brief von meiner Freundin bekommen.,A1
klicken,кликать,"Du musst auf den Link klicken, um die Seite zu öffnen.",A2
dringend,"срочный, настоятельно",Wir müssen dringend eine Lösung für dieses Problem finden.,A2
das Ei,яйцо,Zum Frühstück esse ich gerne ein gekochtes Ei.,A1
das Orchester,оркестр,Das Symphonieorchester gab ein beeindruckendes Konzert.,A2
die Kreditkarte,кредитная карта,Man kann im Supermarkt bequem mit Kreditkarte bezahlen.,A2
duzen,обращаться на «ты»,"In diesem Unternehmen ist es üblich, dass sich die Kollegen duzen.",B1
beeilen,торопиться,"Wir müssen uns beeilen, sonst verpassen wir den Zug.",A2
das Klima,климат,Das Klima in den Tropen ist sehr feucht und warm.,A2
das Portemonnaie,кошелек,Ich habe mein Portemonnaie im Restaurant vergessen.,A1
die Brücke,мост,Die alte Brücke wurde durch eine moderne Konstruktion ersetzt.,A1
der Meister,"мастер, чемпион",Er ist der aktuelle Meister im Schach.,B1
der Herd,плита,"Bitte schalten Sie den Herd aus, wenn Sie mit dem Kochen fertig sind.",A1
der Lerner,учащийся,"Jeder Lerner hat seine eigene Methode, um neue Dinge zu verstehen.",A2
die Schule,школа,"Die Kinder gehen jeden Tag zur Schule, um zu lernen.",A1
die Nachfrage,спрос,Die Nachfrage nach Elektroautos steigt weltweit.,B1
geben,давать,Kannst du mir bitte das Salz geben?,A1
stark,сильный,Er ist ein starker Mann und kann schwere Dinge heben.,A2
der Kunde,клиент,Der Kunde fragte nach den neuesten Produkten.,A2
das Laster,грузовик,Der Fahrer des Lasters musste wegen des starken Regens langsamer fahren.,B2
das Wort,слово,Jedes Wort in diesem Brief ist sorgfältig gewählt.,A1
die Angestellte,"сотрудница, служащая",Die neue Angestellte hat sich schnell eingearbeitet.,A2
die Broschüre,брошюра,Die Broschüre enthielt viele nützliche Informationen über die Region.,A2
der Beruf,"профессия, призвание","Sie hat sich für einen Beruf entschieden, der ihr viel Freude bereitet.",A1
die Ferien,каникулы,Während der Sommerferien planen wir eine Reise nach Italien.,A1
beobachten,наблюдать,"Es ist interessant, die Vögel im Garten zu beobachten.",A2
das Aussehen,"внешний вид, выглядеть",Ihr neues Aussehen gefällt mir sehr gut.,A2
wer,кто,Wer hat das gesagt?,A1
total,"полностью, совершенно",Ich bin total erschöpft nach der langen Reise.,A2
der Briefkasten,почтовый ящик,Ich habe den Brief in den Briefkasten geworfen.,A1
der Empfänger,получатель,Bitte geben Sie die vollständige Adresse des Empfängers an.,B1
doppelt,"двойной, вдвое",Ich brauche doppelt so viel Zucker für dieses Rezept.,A2
das Lexikon,лексикон,"Wenn ich ein unbekanntes Wort finde, schlage ich es im Lexikon nach.",A2
müde,уставший,Nach der langen Wanderung war ich sehr müde.,A1
spielen,играть,Die Kinder spielen gerne im Park.,A1
die Operation,операция,Der Patient erholt sich gut von der Operation.,B1
das Lager,склад,Das neue Lager für die Waren wurde am Stadtrand errichtet.,B1
anders,"иначе, по-другому","Dieses Mal machen wir es anders, um bessere Ergebnisse zu erzielen.",A1
zeigen,показывать,"Kannst du mir bitte zeigen, wo der Bahnhof ist?",A2
das Lokal,"заведение (ресторан, кафе)",Wir treffen uns heute Abend in einem gemütlichen Lokal.,A2
die Miss,мисс,Die Gewinnerin des Schönheitswettbewerbs wurde zur Miss Germany gekürt.,B2
reich,богатый,Er ist ein sehr reicher Mann und hat viele Unternehmen.,A2
indem,"тем, что","Man kann viel lernen, indem man Fragen stellt.",B2
das Fahrrad,велосипед,"Ich fahre jeden Morgen mit dem Fahrrad zur Arbeit, um fit zu bleiben.",A1
der Faktor,фактор,Der Klimawandel ist ein wichtiger Faktor für die Umweltzerstörung.,B2
kennen,знать (кого-то/что-то),Ich kenne diesen Film schon sehr gut.,A1
wohin,куда,Wohin fährst du im Urlaub?,A1
das Wunder,чудо,"Es ist ein Wunder, dass sie diesen Unfall überlebt hat.",A2
essen,есть,Wir gehen heute Abend in einem Restaurant essen.,A1
der Führerausweis,водительское удостоверение (швейцарский вариант),In der Schweiz ist der Führerausweis obligatorisch für jeden Autofahrer.,B1
kühl,прохладный,"An diesem Abend war es angenehm kühl, perfekt für einen Spaziergang.",A2
das Kleid,платье,Sie trug ein wunderschönes blaues Kleid zur Hochzeit.,A1
die Pause,"перерыв, пауза","Wir machen jetzt eine kurze Pause, bevor wir weiterarbeiten.",A1
was,что,Was machst du am Wochenende?,A1
leiten,"руководить, вести",Sie leitet seit vielen Jahren eine erfolgreiche Firma.,B1
die Mensa,"столовая (в университете, на предприятии)",Das Essen in der Mensa ist preiswert und oft lecker.,A2
als,когда,"Als ich jung war, habe ich viel Sport getrieben.",A2
möchten,хотеть,"Ich möchte gerne einen Kaffee bestellen, wenn es Ihnen nichts ausmacht.",A1
einsetzen,применять,"Wir müssen neue Technologien einsetzen, um wettbewerbsfähig zu bleiben.",B1
windig,ветреный,"Es ist heute ziemlich windig, also nimm eine Jacke mit.",A2
jemand,кто-то,Hat jemand meine Schlüssel gesehen?,A1
das Pech,"неудача, невезение","Was für ein Pech, dass es heute regnet und wir nicht picknicken können!",A2
der Bauch,живот,Nach dem üppigen Essen hatte er einen vollen Bauch.,A1
anklicken,"кликать, нажимать (мышкой)","Du musst auf den Link klicken, um die Webseite zu öffnen.",A2
der Journalist,журналист,Der Journalist recherchierte intensiv für seinen Artikel über die aktuelle politische Lage.,A2
die Forschung,исследование,Die Forschung zu diesem Thema ist noch nicht abgeschlossen.,B2
doch,"однако, всё же","Ich dachte, du wärst müde, aber du bist doch noch gekommen.",A2
die Panne,"поломка, авария",Unser Auto hatte eine unerwartete Panne auf der Autobahn.,A2
der Käse,сыр,Zum Abendessen gab es Brot mit verschiedenen Sorten Käse.,A1
bauen,строить,"Die Firma plant, ein neues Haus zu bauen.",A2
die Menge,"количество, толпа",Eine große Menge an Informationen wurde präsentiert.,A2
das Flugzeug,самолет,Das Flugzeug startet pünktlich.,A1
fangen,ловить,"Die Kinder versuchten, den Schmetterling zu fangen.",A2
der Export,экспорт,Der Export von landwirtschaftlichen Produkten ist für die Wirtschaft des Landes sehr wichtig.,B1
süß,сладкий,Der Kuchen ist sehr süß.,A1
der Mantel,пальто,Im Winter trage ich immer einen warmen Mantel.,A1
der Klick,клик,Mit einem Klick auf den Link gelangen Sie direkt zur Webseite.,A2
der Jugendliche,подросток,Viele Jugendliche interessieren sich für soziale Medien und Online-Spiele.,A2
treffen,"встречать, встречаться",Wir treffen uns heute Abend im Restaurant.,A2
die Fortbildung,повышение квалификации,Ich nehme an einer Fortbildung für Lehrer teil.,B1
festlegen,"устанавливать, определять",Wir müssen noch die genauen Termine für das Projekt festlegen.,B1
der Bewohner,житель,Die Bewohner des Viertels organisieren ein Straßenfest.,A2
das Team,команда,Unser Team hat das Projekt erfolgreich abgeschlossen.,A2
heißen,называться,Wie heißt du und woher kommst du?,A1
obwohl,хотя,"Obwohl es stark regnete, gingen wir spazieren.",B1
selbst,"сам, даже",Er hat die ganze Arbeit selbst gemacht.,A2
schreiben,писать,Ich muss noch einen Brief an meine Eltern schreiben.,A1
die Seite,страница,Bitte schlagen Sie die nächste Seite im Buch auf.,A1
das Konzert,концерт,Das Konzert der berühmten Band war ausverkauft und die Stimmung war fantastisch.,A1
immer,всегда,Er ist immer pünktlich zur Arbeit.,A1
erkälten,простудиться,"Wenn man bei kaltem Wetter keine warme Kleidung trägt, kann man sich leicht erkälten.",A2
das Diplom,диплом,Er hat sein Diplom in Ingenieurwissenschaften erhalten.,B1
das Gedicht,стихотворение,Sie hat ein wunderschönes Gedicht über die Natur geschrieben.,A2
das Alphabet,алфавит,Die Kinder lernen gerade das deutsche Alphabet.,A1
klein,маленький,Sie wohnt in einem kleinen Haus am Stadtrand.,A1
der Donner,гром,Der Donner klang bedrohlich durch die Nacht.,A2
der Kollege,коллега (муж.),Der neue Kollege hat sich schnell ins Team integriert.,A1
das Medikament,"лекарство, медикамент",Der Arzt verschrieb mir ein neues Medikament gegen die Schmerzen.,A2
der Akku,аккумулятор,"Der Akku meines Laptops ist fast leer, ich muss ihn aufladen.",A2
ordentlich,"аккуратный, порядочный",Sein Schreibtisch ist immer sehr ordentlich.,B1
gerade,"прямо, только что, сейчас",Ich habe gerade mit der Arbeit begonnen.,A2
die Unterschrift,подпись,Bitte leisten Sie Ihre Unterschrift hier unten.,A2
das Abitur,аттестат зрелости (немецкий аналог),Nach dem Abitur möchte ich an einer Universität studieren.,B1
diesmal,на этот раз,"Diesmal habe ich die Prüfung bestanden, obwohl sie sehr schwierig war.",A2
erfinden,изобретать,"Der Wissenschaftler hat ein neues Gerät erfunden, das die Arbeit erleichtert.",B1
teilnehmen,принимать участие,Möchtest du an dem Workshop teilnehmen?,B1
abwärts,вниз,Der Preis der Aktien ging gestern stark abwärts.,B1
die Küche,кухня,"Sie verbringt viel Zeit in der Küche, um neue Rezepte auszuprobieren.",A1
das Detail,"деталь, подробность",Bitte achten Sie auf jedes Detail.,B1
die Anmeldung,"регистрация, запись",Die Anmeldung für den Kurs ist bis Ende der Woche möglich.,A2
die Politik,политика,Die aktuelle Politik der Regierung stößt auf geteilte Meinungen.,A2
das Ende,конец,Am Ende des Films gab es eine überraschende Wendung.,A1
erfordern,"требовать, нуждаться",Dieses Projekt erfordert viel Geduld und Ausdauer.,B2
das Abo,подписка (сокращенно),Mein Abo für den Streamingdienst läuft bald ab.,A2
der Fluss,река,Der Rhein ist ein wichtiger Fluss in Deutschland.,A2
der Preis,цена,Der Preis für Benzin ist in den letzten Wochen stark gestiegen.,A1
die Luft,воздух,Wir sollten mehr frische Luft schnappen.,A1
lieben,любить,"Ich liebe es, Zeit mit meiner Familie zu verbringen.",A1
nach,после,Nach dem Essen gehen wir spazieren.,A1
intelligent,умный,"Sie ist eine sehr intelligente Studentin, die komplexe Probleme leicht löst.",B1
die Frites,картофель фри,Ich bestelle mir heute Abend eine Portion Pommes Frites.,B1
ruhig,"спокойный, тихий",In der Nacht ist es hier sehr ruhig.,A2
die Touristin,туристка,Die Touristin machte viele Fotos von den historischen Gebäuden der Stadt.,A1
sicher,"безопасный, уверенный","Sei vorsichtig, das Eis ist nicht sicher.",A2
der Moment,момент,Dieser Moment der Stille war sehr friedlich und erholsam.,A1
ehrlich,"честный, откровенно","Sei ehrlich zu mir, was denkst du wirklich über diesen Vorschlag?",A2
erkundigen,"узнавать, осведомляться","Ich werde mich bei der Touristeninformation erkundigen, welche Sehenswürdigkeiten es gibt.",B1
angenehm,приятный,Das Wetter ist heute sehr angenehm.,A2
die Mailbox,почтовый ящик (электронный),Ich habe eine neue Nachricht in meiner Mailbox.,B1
die Reinigung,"чистка, уборка","Die regelmäßige Reinigung der Wohnung ist wichtig, um ein gesundes Raumklima zu erhalten.",A2
machen,делать,Was möchtest du heute Nachmittag machen?,A1
der Hals,шея,Er hat sich im Schlaf den Hals verrenkt.,A1
das Girokonto,расчетный счет,"Ich muss mein Girokonto aufladen, bevor ich die Miete bezahle.",A2
argumentieren,"спорить, аргументировать","Es ist sinnlos, mit ihm zu argumentieren, er hört nie auf andere.",B2
der Familienname,фамилия,Bitte schreiben Sie Ihren Familiennamen und Vornamen deutlich auf.,A1
die Abteilung,"отдел, отделение",Ich arbeite in der Marketingabteilung unseres Unternehmens.,A2
peinlich,"неловкий, стыдный","Es war mir sehr peinlich, als ich den Namen vergessen habe.",B1
der Schluss,конец,Am Schluss des Films gab es eine überraschende Wendung.,A2
einigen,примирять,"Die beiden Parteien versuchten, sich auf einen Kompromiss zu einigen.",B1
das Gebäude,здание,Das neue Gebäude der Universität ist sehr modern.,A2
jede,каждая,Jede Frau hat ihre eigenen Stärken.,A1
schlafen,спать,Ich muss heute Abend früh schlafen.,A1
anstrengend,утомительный,"Der Marathonlauf war sehr anstrengend, aber ich habe es geschafft.",B1
die Diskussion,"дискуссия, обсуждение",Nach der Präsentation gab es eine lebhafte Diskussion.,B1
die Jause,перекус,In Österreich ist die Jause am Nachmittag eine beliebte Tradition.,A2
interessant,интересный,"Das Buch, das ich lese, ist sehr interessant.",A1
überzeugen,убеждать,"Es war schwierig, ihn von meiner Idee zu überzeugen.",B2
das Ergebnis,результат,Das Ergebnis der Prüfung war besser als erwartet.,A2
bedeuten,означать,Was bedeutet dieses Wort?,A2
der Metzger,мясник,Der Metzger schneidet das Fleisch frisch für uns zu.,A2
gesamt,общий,Die Gesamtfläche des Grundstücks beträgt 500 Quadratmeter.,B1
besprechen,обсуждать,Wir müssen die Details des Projekts noch besprechen.,B1
die Blume,цветок,Im Garten blühen viele bunte Blumen.,A1
verwirklichen,реализовать,"Es ist mein größter Traum, meine Geschäftsidee endlich zu verwirklichen.",B2
los,"начало, старт; прочь","Auf die Plätze, fertig, los!",A2
das Rathaus,ратуша,Das historische Rathaus im Stadtzentrum ist ein beliebtes Fotomotiv für Touristen.,A1
nirgends,нигде,"Er schien nirgends zu sein, als wir ihn suchten.",B1
populär,популярный,Dieser Sänger ist bei jungen Leuten sehr populär.,B2
vier,четыре,Ich habe vier Äpfel gekauft.,A1
das Buch,книга,Dieses Buch hat meine Sicht auf die Welt verändert.,A1
schade,жаль,"Es ist schade, dass du nicht kommen kannst.",A1
die Tasse,чашка,"Bitte bring mir eine Tasse Kaffee, wenn du schon in der Küche bist.",A1
nur,только,Ich möchte nur kurz etwas fragen.,A1
das Festival,фестиваль,Das jährliche Musikfestival zieht Tausende von Besuchern aus aller Welt an.,A2
meinetwegen,из-за меня,"Wenn es dir nicht passt, können wir das gerne meinetwegen verschieben.",B2
bar,наличный,Ich bezahle gerne bar.,B2
dort,там,"Dort steht ein interessantes Gebäude, das wir uns ansehen sollten.",A1
finanziell,финансовый,Nach dem Verlust des Jobs hatte er finanzielle Schwierigkeiten.,B2
die Brust,грудь,Er legte die Hand auf seine Brust und spürte seinen schnellen Herzschlag.,A2
die Ecke,угол,Das Geschäft befindet sich an der nächsten Ecke.,A1
verpassen,пропустить,"Wenn du zu spät kommst, wirst du den Anfang des Films verpassen.",A2
das Messer,нож,Bitte gib mir das scharfe Messer zum Schneiden.,A1
das Rad,"колесо, велосипед",Das Hinterrad des Fahrrads hat einen Platten und muss repariert werden.,A1
das Öl,"масло, нефть","Man sollte nicht zu viel Öl beim Kochen verwenden, um gesünder zu essen.",A2
rund,круглый,Der Tisch in der Mitte des Raumes ist rund.,A2
einfach,простой,Das Rezept ist sehr einfach und schnell zuzubereiten.,A2
befreit,освобожденный,Nach der Prüfung fühlte er sich endlich befreit.,B1
die Oper,опера,"Wir gehen heute Abend in die Oper, um eine berühmte Aufführung zu sehen.",A2
die Anrede,обращение,Die richtige Anrede in einem formellen Brief ist sehr wichtig.,B1
nachher,"потом, затем",Wir gehen jetzt essen und nachher ins Kino.,A2
das Ding,"вещь, предмет",Kannst du mir dieses Ding bitte reichen?,A1
eintreten,входить,Bitte treten Sie durch die linke Tür ein und warten Sie dort auf Ihre Einladung.,B1
das Boot,лодка,"Wir mieteten ein kleines Boot, um über den See zu fahren.",A1
das Österreich,Австрия,"Im Sommer reisen viele Touristen nach Österreich, um die Berge zu genießen.",A1
versuchen,пытаться,"Ich werde versuchen, die Prüfung zu bestehen, auch wenn sie schwierig ist.",A2
der Service,обслуживание,"Der Service im Restaurant war ausgezeichnet, das Personal war sehr freundlich.",A2
die Hoffnung,надежда,Trotz der Schwierigkeiten haben wir die Hoffnung nicht aufgegeben.,A2
neulich,недавно,Neulich habe ich einen alten Freund getroffen.,B1
dienen,служить,Dieses Werkzeug kann uns in vielen Situationen gut dienen.,B1
kurz,короткий,"Wir hatten nur kurz Zeit, um uns zu unterhalten.",A1
das Blut,кровь,Nach dem Sturz blutete sein Knie stark.,A2
erschrecken,испугаться,Das plötzliche Geräusch ließ sie erschrecken.,B1
heute,сегодня,Heute Abend gehen wir ins Kino.,A1
das Loch,дыра,"Im alten Pullover war ein kleines Loch, das repariert werden musste.",A2
unterschreiben,подписывать,"Bevor du den Vertrag abschließt, lies ihn sorgfältig und unterschreibe ihn dann.",A2
der Keller,подвал,Im Keller lagern wir unsere Vorräte und Werkzeuge.,A1
nachdenken,"размышлять, обдумывать",Ich muss über dieses Angebot noch nachdenken.,B1
genehmigen,одобрить,Die Stadtverwaltung muss den Bauantrag noch genehmigen.,B2
begleiten,сопровождать,Ich werde dich gerne zu dem Konzert begleiten.,A2
